legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
790ccb42,QC26060135,12308,สีไม่ตรง STD./Color off Standard,Minor,191
f36beaa1,QC26060135,"12111 , 12308","น้ำหนักไม่ตรงSTD/Weight off standard , สีไม่ตรง STD./Color off Standard",Minor,9
fd33f580,QC26060136,12309,จุดดำ/Black dot,Minor,24
2f33c686,QC26060137,12308,สีไม่ตรง STD./Color off Standard,Minor,172
80e4008f,QC26060137,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,27
2b79acab,QC26060137,"12312 , 12308","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,1
63a866c9,QC26060138,"12308 , 12356","สีไม่ตรง STD./Color off Standard , เส้นผม/Hair contamination",Critical,1
667e63f8,QC26060138,12308,สีไม่ตรง STD./Color off Standard,Minor,929
93539790,QC26060138,"12308 , 12324","สีไม่ตรง STD./Color off Standard , เสียรูปทรง/Deformation",Major,27
977eda71,QC26060138,"12308 , 12349","สีไม่ตรง STD./Color off Standard , เอียง/Slanted",Minor,43
d8dd0fa9,QC26060139,12312,คราบสกปรก/Dirty,Minor,3
5567100b,QC26060139,12309,จุดดำ/Black dot,Minor,2
ac4b9db7,QC26060140,12308,สีไม่ตรง STD./Color off Standard,Minor,188
a1b5f55d,QC26060140,"12308 , 12340","สีไม่ตรง STD./Color off Standard , เปื้อนตัวยา / Bulk stain",Minor,4
f10b6b50,QC26060140,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,4
d2ea9ba9,QC26060145,12308,สีไม่ตรง STD./Color off Standard,Minor,500
b765d759,QC26060146,12308,สีไม่ตรง STD./Color off Standard,Minor,304
8c5a5e71,QC26060146,"12308 , 12312","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,3
26cb34a6,QC26060146,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,3
2d420ff0,QC26060146,"12308 , 12340","สีไม่ตรง STD./Color off Standard , เปื้อนตัวยา / Bulk stain",Minor,3
cb563e0e,QC26060146,"12308 , 12356","สีไม่ตรง STD./Color off Standard , เส้นผม/Hair contamination",Critical,2
e757c4fa,QC26060155,12308,สีไม่ตรง STD./Color off Standard,Minor,1250
22113da5,QC26060156,14127,ประกอบไม่สนิท / Assembly incomplete,Minor,2
1d766bd5,QC26060156,12303,รอยย่น/Wrinkle,Minor,1
5911e7dd,QC26060157,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,6
eeebf17e,QC26060157,"12308 , 12312","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,1
5263a2a5,QC26060157,12308,สีไม่ตรง STD./Color off Standard,Minor,308
2c56b7a0,QC26060158,12308,สีไม่ตรง STD./Color off Standard,Minor,190
6e550b41,QC26060158,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,7
6047613f,QC26060158,"12308 , 12340","สีไม่ตรง STD./Color off Standard , เปื้อนตัวยา / Bulk stain",Minor,3
380ffa79,QC26060159,12308,สีไม่ตรง STD./Color off Standard,Minor,194
